"grupo","descargable","nombre","wfs_base","wfs_capa","wfs_version","archivo_salida"
"sinac","n","Áreas Silvestres Protegidas","http://geos1pne.sirefor.go.cr/wfs","PNE:areas_silvestres_protegidas","1.0.0","areas-silvestres-protegidas.gpkg"
"sinac","n","Patrimonio Natural del Estado","http://geos1pne.sirefor.go.cr/wfs","PNE:patrimonio_natural_del_estado","1.0.0","patrimonio-natural-estado.gpkg"
"sinac","n","Registro Nacional de Humedales","http://geos1pne.sirefor.go.cr/wfs","PNE:registro_nacional_humedales","1.0.0","registro-nacional-humedales.gpkg"
"palma","n","Cultivo de palma en Costa Rica en el 2018 (edición 2) a escala 1:10.000","https://monitoreo.prias.cenat.ac.cr/geoserver/MonitoreoPalma/wfs","MonitoreoPalma:Palma_2018_ed2","1.0.0","cultivo-palma-2018.gpkg"
"palma","n","Cultivo de palma en Costa Rica en el 2019 a escala 1:10.000","https://monitoreo.prias.cenat.ac.cr/geoserver/MonitoreoPalma/wfs","MonitoreoPalma:Palma_2019","1.0.0","cultivo-palma-2019.gpkg"
"palma","n","No cambio de Cobertura arbórea 2018-2019 asociado a palma aceitera a escala 1:10.000","https://monitoreo.prias.cenat.ac.cr/geoserver/MonitoreoPalma/wfs","MonitoreoPalma:No_cambio_CA_palma_2018_2019","1.0.0","no-cambio-cobertura-arborea-asociado-palma.gpkg"
"palma","n","Áreas de Pérdida-Ganancia de palma aceitera en Costa Rica en el 2018-2019 a escala 1:10.000","https://monitoreo.prias.cenat.ac.cr/geoserver/MonitoreoPalma/wfs","MonitoreoPalma:Perdida_ganancia_palma_2018_2019 ","1.0.0","perdida-ganancia-palma-2018-2019.gpkg"
"piña","n","Área correspondiente al cultivo de piña en Costa Rica en el 2000 a escala 1:10.000","https://monitoreo.prias.cenat.ac.cr/geoserver/MonitoreoPina/wfs","MonitoreoPina:Piña_2000","1.0.0","cultivo-pina-2000.gpkg"
"piña","n","Área correspondiente al cultivo de piña en Costa Rica en el 2015 a escala 1:10.000","https://monitoreo.prias.cenat.ac.cr/geoserver/MonitoreoPina/wfs","MonitoreoPina:Piña_2015","1.0.0","cultivo-pina-2015.gpkg"
"piña","n","Área correspondiente al cultivo de piña en Costa Rica en el 2016 a escala 1:10.000","https://monitoreo.prias.cenat.ac.cr/geoserver/MonitoreoPina/wfs","MonitoreoPina:Piña_2016","1.0.0","cultivo-pina-2016.gpkg"
"piña","n","Área correspondiente al cultivo de piña en Costa Rica en el 2017 a escala 1:10.000","https://monitoreo.prias.cenat.ac.cr/geoserver/MonitoreoPina/wfs","MonitoreoPina:Piña_2017","1.0.0","cultivo-pina-2017.gpkg"
"piña","n","Área correspondiente al cultivo de piña en Costa Rica en el 2018 a escala 1:10.000","https://monitoreo.prias.cenat.ac.cr/geoserver/MonitoreoPina/wfs","MonitoreoPina:Piña_2018","1.0.0","cultivo-pina-2018.gpkg"
"piña","n","Área correspondiente al cultivo de piña en Costa Rica en el 2019 a escala 1:10.000","https://monitoreo.prias.cenat.ac.cr/geoserver/MonitoreoPina/wfs","MonitoreoPina:Piña_2019","1.0.0","cultivo-pina-2019.gpkg"
"piña","n","Área de pérdida y ganancia de cobertura forestal en Costa Rica, con respecto al cultivo de piña, para el período 2000-2015 a escala 1:10.000","https://monitoreo.prias.cenat.ac.cr/geoserver/MonitoreoPina/wfs","MonitoreoPina:Perdida_ganancia_2000_2015","1.0.0","perdida-ganancia-forestal-asociada-pina-2000-2015.gpkg"
"piña","n","Área de pérdida y ganancia de cobertura forestal en Costa Rica, con respecto al cultivo de piña, para el período 2015-2016 a escala 1:10.000","https://monitoreo.prias.cenat.ac.cr/geoserver/MonitoreoPina/wfs","MonitoreoPina:Perdida_ganancia_2015_2016","1.0.0","perdida-ganancia-forestal-asociada-pina-2015-2016.gpkg"
"piña","n","Área de pérdida y ganancia de cobertura forestal en Costa Rica, con respecto al cultivo de piña, para el período 2016-2017 a escala 1:10.000","https://monitoreo.prias.cenat.ac.cr/geoserver/MonitoreoPina/wfs","MonitoreoPina:Perdida_ganancia_2016_2017","1.0.0","perdida-ganancia-forestal-asociada-pina-2016-2017.gpkg"
"piña","n","Área de pérdida y ganancia de cobertura forestal en Costa Rica, con respecto al cultivo de piña, para el período 2017-2018 a escala 1:10.000","https://monitoreo.prias.cenat.ac.cr/geoserver/MonitoreoPina/wfs","MonitoreoPina:Perdida_ganancia_2017_2018","1.0.0","perdida-ganancia-forestal-asociada-pina-2017-2018.gpkg"
"piña","n","Área de pérdida y ganancia de cobertura forestal en Costa Rica, con respecto al cultivo de piña, para el período 2018-2019 a escala 1:10.000","https://monitoreo.prias.cenat.ac.cr/geoserver/MonitoreoPina/wfs","MonitoreoPina:Perdida_ganancia_pina_2018_2019","1.0.0","perdida-ganancia-forestal-asociada-pina-2018-2019.gpkg"
