codigo_clase,nombre_clase,celdas,m2,ha,km2,proporcion
1,Red vial,734545,73454500,7345.45,73.4545,0.0014377780804658395
2,Áreas Silvestres Protegidas,66121626,6612162600,661216.26,6612.1626,0.12942464315672988
3,Humedales,25176522,2517652200,251765.22,2517.6522,0.04927982829365932
4,Patrimonio Natural del Estado,2656062,265606200,26560.62,265.6062,0.005198902346293636
5,Caña,6235963,623596300,62359.63,623.5963,0.012206101616641592
6,Banano,5428627,542862700,54286.27,542.8627,0.01062584444469029
7,Café,9342679,934267900,93426.79,934.2679,0.018287101646636366
8,Pasto,128078035,12807803500,1280780.35,12807.8035,0.25069640568261525
9,Palma,7342945,734294500,73429.45,734.2945,0.014372877586895608
10,Piña,6484955,648495500,64849.55,648.4955,0.012693471675400893
11,Cultivos,31075547,3107554700,310755.47,3107.5547,0.060826416781934366
12,Páramo,37752,3775200,377.52,3.7752,7.389472134960605e-5
13,Cobertura forestal,213429193,21342919300,2134291.93,21342.9193,0.41776040327946307
14,Suelo desnudo,3197336,319733600,31973.36,319.7336,0.006258377113293707
15,Zonas urbanas,4621113,462111300,46211.13,462.11130000000003,0.009045238860458838
16,Sin información,926096,92609600,9260.96,92.6096,0.0018127147134717303
